"ip","error","bogon","hostname","city","region","country","postal","loc","timezone","asn","asn_name","asn_domain","asn_route","asn_type","abuse_address","abuse_country","abuse_email","abuse_name","abuse_network","abuse_phone","company_name","company_domain","company_type","carrier_name","carrier_mcc","carrier_mnc"
"54.240.231.9",,"false","s3-us-west-2.amazonaws.com","Portland","Oregon","US","97231","45.6401,-122.8380","America/Los_Angeles","AS16509","Amazon.com, Inc.","amazon.com","54.240.230.0/23","business","US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","54.240.192.0/18","+1-206-266-4064","Amazon.com, Inc.","amazon.com","business",,,
"117.19.131.144",,"false","117-19-131-144.dynamic.taiwanmobile.net","Taipei","Taiwan","TW",,"25.0478,121.5319","Asia/Taipei","AS24158","Taiwan Mobile Co., Ltd.","taiwanmobile.com","117.19.128.0/20","isp","Taipei, Taiwan, 100","TW","hostmaster@twnic.net.tw","Mark Chuang","117.19.0.0/16","+886-9-22440617","Taipei Taiwan","taiwanmobile.com","isp","Taiwan Mobile Co. Ltd","466","97"
"221.217.39.211",,"false",,"Beijing","Beijing","CN",,"39.9075,116.3972","Asia/Shanghai","AS4808","China Unicom Beijing Province Network","chinaunicom.cn","221.217.0.0/18","isp","No.21,Financial Street, Beijing,100033, P.R.China","CN","hqs-ipabuse@chinaunicom.cn","ChinaUnicom Hostmaster","221.216.0.0/13","+86-10-66259764","China Unicom Beijing province network","chinaunicom.cn","isp",,,
"7.43.125.76",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","7.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","business",,,
"224.86.233.79",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"32.151.38.98",,"false",,"Lake Mary","Florida","US","32746","28.7589,-81.3178","America/New_York","AS2686","AT&T Global Network Services, LLC","att.com","32.0.0.0/8","isp","US, NJ, Parsippany, 400 Interpace Parkway, 07054","US","abuse@att.net","ATT Abuse","32.0.0.0-32.207.255.255","+1-919-319-8130","AT&T Global Network Services, LLC","att.com","isp",,,
"4.134.40.92",,"false",,"Redmond","Washington","US","98052","47.6740,-122.1215","America/Los_Angeles","AS3356","Level 3 Parent, LLC","level3.com","4.0.0.0/8","isp","US, WA, Redmond, One Microsoft Way, 98052","US","abuse@microsoft.com","Microsoft Abuse Contact","4.128.0.0/12","+1-425-882-8080","Microsoft Corporation","microsoft.com","business",,,
"4.70.188.58",,"false",,"Monroe","Louisiana","US","71203","32.5530,-92.0422","America/Chicago","AS3356","Level 3 Parent, LLC","level3.com","4.0.0.0/9","isp","US, CO, Broomfield, 1025 Eldorado Blvd, 80021","US","ipaddressing@level3.com","ipaddressing","4.0.0.0/9","+1-877-453-8353","Level 3 Parent, LLC","centurylink.com","isp",,,
"24.7.152.228",,"false","c-24-7-152-228.hsd1.ca.comcast.net","North Highlands","California","US","95660","38.6857,-121.3722","America/Los_Angeles","AS33667","Comcast Cable Communications, LLC","comcast.com","24.7.128.0/18","isp","US, NJ, Mount Laurel, 1800 Bishops Gate Blvd, 08054","US","abuse@comcast.net","Network Abuse and Policy Observance","24.7.128.0/18","+1-888-565-4329","Comcast Cable Communications","comcast.com","isp",,,
"58.122.179.1",,"false",,"Seoul","Seoul","KR","03186","37.5660,126.9784","Asia/Seoul","AS9318","SK Broadband Co Ltd","skbroadband.com","58.120.0.0/13","isp","Jeollanam-do Naju-si Jinheung-gil","KR","irt@nic.or.kr","IP Manager","58.120.0.0/13","+82-80-8282-106","SK Broadband Co Ltd","skbroadband.com","isp",,,
"5.123.9.44",,"false",,"Isfahan","Isfahan","IR",,"32.6525,51.6746","Asia/Tehran","AS44244","Iran Cell Service and Communication Company","mtnirancell.ir","5.123.0.0/20","isp",,"IR","abuse@mtnirancell.ir","Abuse-C Role","5.120.0.0/14",,"Iran Cell Service and Communication Company","mtnirancell.ir","isp","MTN Irancell Telecommunications Services Company","432","35"
"3.175.206.5",,"false",,"Seattle","Washington","US","98109","47.6339,-122.3476","America/Los_Angeles",,,,,,"US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","3.128.0.0/9","+1-206-266-4064","Amazon Technologies Inc.","amazon.com","business",,,
"8.142.119.47",,"false",,"Singapore","Singapore","SG","048616","1.2843,103.8511","Asia/Singapore",,,,,,"1 Raffles Place # 59-00 One Raffles Place, Tower One Singapore, Singapore","SG","anti-spam@list.alibaba-inc.com",,"8.128.0.0/11","+86-571-85022088","Aliyun Computing Co.LTD","aliyun.com","business",,,
"40.248.58.203",,"false",,"Indianapolis","Indiana","US","46207","39.7684,-86.1580","America/Indiana/Indianapolis","AS4249","Eli Lilly and Company","lilly.com","40.248.0.0/13","isp","US, IN, Indianapolis, Lilly Corporate Center, 46285","US","bershevits_denis@lilly.com","Denis Bershevits","40.144.0.0-40.255.255.255","+1-317-651-0071","Eli Lilly and Company","lilly.com","isp",,,
"7.84.254.187",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","7.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","business",,,
"215.215.239.71",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","215.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","isp",,,
"124.40.66.196",,"false","pc174196.ztv.ne.jp","Osaka","Ōsaka","JP","543-0062","34.6937,135.5022","Asia/Tokyo","AS9351","ZTV CO.,LTD","ztv.co.jp","124.40.64.0/19","isp","Urbannet-Kanda Bldg 4F, 3-6-2 Uchi-Kanda, Chiyoda-ku, Tokyo 101-0047, Japan","JP","hostmaster@nic.ad.jp",,"124.40.64.0/19","+81-3-5297-2311","ZTV CO.,LTD","ztv.co.jp","isp",,,
"215.87.143.102",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York","AS721","DoD Network Information Center","mail.mil","215.0.0.0/9","isp","US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","215.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","isp",,,
"143.39.97.13",,"false",,"Cincinnati","Ohio","US","45201","39.1668,-84.5382","America/New_York",,,,,,"US, OH, Cincinnati, One Procter and Gamble Plaza, 45202","US","piregistrar.im@pg.com","Procter Gamble Registration Role","143.1.0.0-143.40.255.255","+1-513-983-1000","The Procter and Gamble Company","pg.com","business",,,
"202.56.79.198",,"false","host-198.dhcpn14.icn-tv.ne.jp","Iwakuni","Yamaguchi","JP","741-0062","34.1630,132.2200","Asia/Tokyo","AS24251","Iwakuni Cable Network Corporation","icn-tv.ne.jp","202.56.64.0/20","isp","Urbannet-Kanda Bldg 4F, 3-6-2 Uchi-Kanda, Chiyoda-ku, Tokyo 101-0047, Japan","JP","hostmaster@nic.ad.jp",,"202.56.64.0/20","+81-3-5297-2311","Iwakuni Cable Network Corporation","icn-tv.ne.jp","isp",,,
"143.60.125.142",,"false",,"Wise","Virginia","US","24293","36.9759,-82.5757","America/New_York","AS40723","The University of Virginia's College at Wise","uvawise.edu","143.60.0.0/17","education","US, VA, Wise, University of Virginia's College at Wise, Smiddy Hall - IT Center, 1 College Ave., 24293","US","chb5s@uvawise.edu","Christopher Boggs","143.60.0.0/16","+1-276-376-1041","The University of Virginia's College at Wise","uvawise.edu","education",,,
"73.233.153.126",,"false","c-73-233-153-126.hsd1.de.comcast.net","Glasgow","Delaware","US","19702","39.6048,-75.7452","America/New_York","AS7922","Comcast Cable Communications, LLC","comcast.com","73.0.0.0/8","isp","US, NJ, Mount Laurel, 1800 Bishops Gate Blvd, 08054","US","abuse@comcast.net","Network Abuse and Policy Observance","73.233.0.0/16","+1-888-565-4329","Comcast IP Services, L.L.C.","comcast.com","isp",,,
"121.144.28.245",,"false",,"Busan","Busan","KR","48926","35.1017,129.0300","Asia/Seoul","AS4766","Korea Telecom","kt.com","121.144.0.0/13","isp","Jeollanam-do Naju-si Jinheung-gil","KR","irt@nic.or.kr","IP Manager","121.128.0.0/11","+82-2-500-6630","Korea Telecom","kt.com","isp",,,
"53.232.193.122",,"false",,"Stuttgart","Baden-Württemberg","DE","70173","48.7823,9.1770","Europe/Berlin","AS31399","Daimler AG","daimler.com","53.0.0.0/8","isp",,"DE","ipadmin@daimler.com","Abuse-C Role","53.0.0.0/8",,"Daimler AG","daimler.com","isp",,,
"104.222.102.209",,"false",,"Miami","Florida","US","33102","25.7743,-80.1937","America/New_York","AS33724","VOLICO","volico.com","104.222.96.0/21","hosting","US, FL, Deerfield, 500 Green Road, 33064","US","abuse@biznesshosting.com","Dept Abuse","104.222.96.0/20","+1-888-865-4261","VOLICO","volico.com","hosting",,,
"216.55.215.13",,"false",,"Winnipeg","Manitoba","CA","R2H","49.8844,-97.1470","America/Winnipeg","AS394255","Bell MTS Data Centres G.P.","bellmtsdatacentres.com","216.55.214.0/23","business","CA, MB, Winnipeg, PO BOX 6666, RM WV100, R3C 3V6","CA","abuse@bellmtsdatacentres.com","Network Abuse Team","216.55.208.0/21","+1-204-475-0777","Bell MTS Data Centres G.P.","bellmtsdatacentres.com","business",,,
"84.106.145.239",,"false","84-106-145-239.cable.dynamic.v4.ziggo.nl","Heiloo","North Holland","NL","1852","52.6025,4.6882","Europe/Amsterdam","AS33915","Vodafone Libertel B.V.","vodafone.nl","84.106.0.0/15","isp","Winschoterdiep 60, 9723 AB Groningen, The Netherlands","NL","abuse@as9143.net",,"84.106.128.0/18","+31(0)88 717 0000","Ziggo Consumers","ziggo.nl","isp",,,
"200.131.52.20",,"false","ponto1.cnpgl.embrapa.br","Juiz de Fora","Minas Gerais","BR","36000-000","-21.7642,-43.3503","America/Sao_Paulo","AS1916","Associação Rede Nacional de Ensino e Pesquisa","rnp.br","200.131.0.0/16","isp","Av. das Nações Unidas, 11541, 7º andar, 04578-000 - Rio de Janeiro - RJ","BR","RCO6@NUMERACAO.REGISTRO.BR","RNP - Centro de Engenharia e Operações","200.131.0.0/16","+55 21 55093511 []","Associação Rede Nacional de Ensino e Pesquisa","fnde.gov.br","isp",,,
"132.252.158.0",,"false",,"Essen","North Rhine-Westphalia","DE","45127","51.4566,7.0123","Europe/Berlin","AS680","Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.","dfn.de","132.252.0.0/16","isp","DFN-Verein Geschaeftsstelle Berlin, Alexanderplatz 1, 10178 Berlin, Germany","DE","abuse@dfn.de",,"132.252.0.0/16","+49 30 884299 0","Universitaetsstr. 1-15","uni-due.de","education",,,
"220.11.129.27",,"false","softbank220011129027.bbtec.net","Mino","Ōsaka","JP","562-0001","34.8269,135.4706","Asia/Tokyo","AS17676","Softbank BB Corp.","softbank.jp","220.11.0.0/16","isp","Tokyo Shiodome bldg.,, 1-9-1, Higashi-Shimbashi, Minatoku,Tokyo, Japan","JP","abuse@bbtec.net",,"220.0.0.0/10","+81-3-6688-5120","Japan nation-wide Network of SOFTBANK Corp.","bbtec.net","isp",,,
"8.153.0.186",,"false",,"Singapore","Singapore","SG","048616","1.2843,103.8511","Asia/Singapore",,,,,,"1 Raffles Place # 59-00 One Raffles Place, Tower One Singapore, Singapore","SG","anti-spam@list.alibaba-inc.com",,"8.128.0.0/11","+86-571-85022088","Aliyun Computing Co.LTD","aliyun.com","business",,,
"119.206.117.107",,"false",,"Changsu","Jeollabuk-do","KR","55631","35.6484,127.5152","Asia/Seoul","AS4766","Korea Telecom","kt.com","119.200.0.0/13","isp","Jeollanam-do Naju-si Jinheung-gil","KR","irt@nic.or.kr","IP Manager","119.192.0.0/11","+82-2-500-6630","Korea Telecom","kt.com","isp",,,
"222.93.42.133",,"false",,"Suzhou","Jiangsu","CN",,"31.3041,120.5954","Asia/Shanghai","AS4134","CHINANET-BACKBONE","cndata.com","222.92.0.0/14","isp","No.31 ,jingrong street,beijing, 100032","CN","anti-spam@ns.chinanet.cn.net","Chinanet Hostmaster","222.92.0.0/14","+86-10-58501724","CHINANET jiangsu province network","cndata.com","isp",,,
"105.104.224.98",,"false",,"Annaba","Annaba","DZ","23002","36.9000,7.7667","Africa/Algiers","AS36947","Telecom Algeria","algerietelecom.dz","105.104.224.0/19","isp","Alger","DZ","security@djaweb.dz","Security Departement","105.104.224.0/21","+21321911224","Telecom Algeria","algerietelecom.dz","isp",,,
"252.156.181.78",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"7.139.235.187",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","7.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","business",,,
"111.140.127.91",,"false",,"Jinrongjie","Beijing","CN",,"39.9122,116.3561","Asia/Shanghai","AS9394","China TieTong Telecommunications Corporation","cmtietong.com","111.140.96.0/19","isp","No.18, Beifengwo Road, Haidian District,, Beijing, China","CN","haop@cmtietong.com","Cindy Wang","111.140.96.0/19","+86-10-51892147","North Star Information Hi.tech Ltd. Co.","chinatietong.com","isp",,,
"1.186.17.84",,"false","1.186.17.84.dvois.com","Pune","Maharashtra","IN","411005","18.5196,73.8554","Asia/Kolkata","AS45769","D-Vois Broadband Pvt Ltd","dvois.com","1.186.17.0/24","isp","11/1, Palace Road, KHR House, Bangalore - 560052, +91 08061342600","IN","abuse@i-on.in",,"1.186.17.0/24","+91-80-41137335","D-VoiS Broadband Private Limited","dvois.com","isp",,,
"85.59.39.221",,"false","221.pool85-59-39.dynamic.orange.es","Mollet del Vallès","Catalonia","ES","08100","41.5403,2.2131","Europe/Madrid","AS12715","Orange Espagne SA","orange.es","85.59.36.0/22","isp",,"ES","abuse@orange.es",,"85.56.0.0/14",,,,,,,
"231.152.252.43",,"true",,,,,,,,,,,,,,,,,,,,,,,,
"125.214.216.123",,"false",,"Hong Kong","Central and Western","HK",,"22.2783,114.1747","Asia/Hong_Kong","AS4515","HKT Limited","pccw.com","125.214.192.0/18","isp","FT 3B G/F PING CHUN HSE (FT1-20), PING TIN EST, LAM TIN, KOWLOON","HK","cs@imsbiz.com","JOHN CHAN","125.214.216.120/29","+852-29197787","THE FAMILY PLANNING ASSOCIATION OF HK","thefamily.co.uk","business",,,
"69.31.65.238",,"false",,"Tysons Corner","Virginia","US","22102","38.9530,-77.2295","America/New_York","AS3257","GTT Communications Inc.","gtt.net","69.31.0.0/17","isp","US, VA, McLean, 8484 Westpark Drive, Suite 720, 22102","US","abuse@gtt.net","GTT Abuse Department","69.31.0.0-69.31.143.255","+1-703-442-5500","GTT","gtt.net","isp",,,
"126.12.105.55",,"false","softbank126012105055.bbtec.net","Tokyo","Tokyo","JP","151-0052","35.6895,139.6917","Asia/Tokyo","AS17676","Softbank BB Corp.","softbank.jp","126.12.0.0/16","isp","Tokyo Shiodome bldg.,, 1-9-1, Higashi-Shimbashi, Minatoku,Tokyo, Japan","JP","abuse@bbtec.net",,"126.0.0.0-126.133.255.255","+81-3-6688-5120","Japan Nation-wide Network of Softbank Corp.","bbtec.net","isp",,,
"211.39.4.118",,"false",,"Seoul","Seoul","KR","03186","37.5660,126.9784","Asia/Seoul","AS10171","SKTelink","sk.com","211.39.0.0/18","isp","Seoul Jung-gu Toegye-ro, 24","KR","yss00700@sk.com","IP Manager","211.39.0.0/18","+82-70-7400-1716","SKTelink","sk.com","isp",,,
"73.102.88.79",,"false","c-73-102-88-79.hsd1.in.comcast.net","Fishers","Indiana","US","46085","39.9556,-86.0139","America/Indiana/Indianapolis","AS7922","Comcast Cable Communications, LLC","comcast.com","73.0.0.0/8","isp","US, NJ, Mount Laurel, 1800 Bishops Gate Blvd, 08054","US","abuse@comcast.net","Network Abuse and Policy Observance","73.102.0.0/15","+1-888-565-4329","Comcast IP Services, L.L.C.","comcast.com","isp",,,
"210.229.38.137",,"false",,"Tokyo","Tokyo","JP","101-0047","35.6910,139.7679","Asia/Tokyo",,,,,,"Urbannet-Kanda Bldg 4F, 3-6-2 Uchi-Kanda, Chiyoda-ku, Tokyo 101-0047, Japan","JP","hostmaster@nic.ad.jp",,"210.226.0.0-210.231.255.255","+81-3-5297-2311","Japan Network Information Center","cdnetworks.com","business",,,
"5.3.230.214",,"false","5x3x230x214.dynamic.nsk.ertelecom.ru","Cheboksary","Chuvashia","RU","428000","56.1322,47.2519","Europe/Moscow","AS57026","JSC ER-Telecom Holding","ertelecom.ru","5.3.228.0/22","isp","JSC ER-Telecom, 111, str. Shosse Kosmonavtov, 614000 Perm, Russian Federation","RU","abuse@domru.ru",,"5.3.224.0/21","+7 342 2462233","JSC ER-Telecom Holding Cheboksary branch","ertelecom.ru","isp",,,
"208.92.91.242",,"false",,"Los Angeles","California","US","90009","34.0522,-118.2437","America/Los_Angeles","AS22552","eSited Solutions","esited.com","208.92.88.0/22","hosting","US, CA, LA, 530 W. 6th St., 90014","US","support@zbusa.com","abuse","208.92.88.0/21","+1-213-614-9371","zbusa LLC","zbusa.com","hosting",,,
"4.105.177.199",,"false",,"Monroe","Louisiana","US","71203","32.5530,-92.0422","America/Chicago","AS3356","Level 3 Parent, LLC","level3.com","4.0.0.0/9","isp","US, CO, Broomfield, 1025 Eldorado Blvd, 80021","US","ipaddressing@level3.com","ipaddressing","4.0.0.0/9","+1-877-453-8353","Level 3 Parent, LLC","centurylink.com","isp",,,
"38.10.48.92",,"false",,"Washington","Washington, D.C.","US","20037","38.9014,-77.0504","America/New_York","AS174","Cogent Communications","cogentco.com","38.0.0.0/8","isp","US, DC, Washington, 2450 N street, NW, 20037","US","abuse@cogentco.com","Cogent Abuse","38.0.0.0/8","+1-877-875-4311","Cogent Communications","cogentco.com","isp",,,
"133.33.44.13",,"false",,"Shizuoka","Shizuoka","JP","420-0839","34.9833,138.3833","Asia/Tokyo","AS23615","University of Shizuoka","u-shizuoka-ken.ac.jp","133.33.0.0/16","education","Urbannet-Kanda Bldg 4F, 3-6-2 Uchi-Kanda, Chiyoda-ku, Tokyo 101-0047,Japan","JP","hostmaster@nic.ad.jp",,"133.0.0.0/8","+81-3-5297-2311","Japan Network Information Center","cdnetworks.com","business",,,
"202.189.24.255",,"false",,"Beijing","Beijing","CN",,"39.9075,116.3972","Asia/Shanghai",,,,,,"Beijing, China","CN","ipas@cnnic.cn","Lucy Ren","202.189.12.0-202.189.63.255","+86-010-51668471","Beijing New Power Technology Co.,Ltd","wintimes.com.cn","business",,,
"5.101.244.234",,"false","5.101.244.234.bba.joxnet.ru","Voronezh","Voronezj","RU","394008","51.6664,39.1700","Europe/Moscow","AS15552","LLC Real-net","real-net.pro","5.101.224.0/19","isp","LLC Real-Net, Prostornaya 1A, Voronezh, Russian Federation","RU","abuse@real-net.pro",,"5.101.240.0/20","+79204420334","LLC Real-net","real-net.pro","isp",,,
"2.52.110.194",,"false","2-52-110-194.orange.net.il","Tel Aviv","Tel Aviv","IL",,"32.0809,34.7806","Asia/Jerusalem","AS12400","Partner Communications Ltd.","orange.co.il","2.52.0.0/17","isp",,"IL","abuse@partner.co.il","Abuse-C Role","2.52.0.0/16",,"Partner Communications Ltd.","orange.co.il","isp","Partner Communications Company Ltd.","425","1"
"1.130.73.146",,"false",,"Melbourne","Victoria","AU","3000","-37.8140,144.9633","Australia/Melbourne","AS1221","Telstra Corporation Ltd","telstra.com.au","1.128.0.0/11","isp","Telstra Internet","AU","abuse@telstra.net","Telstra Internet Address Registry","1.128.0.0/11","+61 3 9815 5923","Telstra","telstra.net","isp","Telstra Corporation Limited","505","1"
"84.237.232.120",,"false",,"Sigulda","Sigulda","LV","LV-2150","57.1538,24.8595","Europe/Riga","AS12578","SIA Tet","tet.lv","84.237.128.0/17","isp","SIA Tet, Dzirnavu Street 105, LV-1011 Riga, LATVIA","LV","abuse@tet.lv",,"84.237.232.0/24","+371-80008098","SIA Tet","tet.lv","isp",,,
"25.163.83.194",,"false",,"Moffat","Scotland","GB","DG10","55.3353,-3.4414","Europe/London",,,,,,"UKCloud","GB","hostmaster@mod.gov.uk","MOD HOSTMASTER","25.0.0.0/8",,"UK Ministry of Defence","mod.gov.uk","business",,,
"3.190.95.171",,"false",,"Seattle","Washington","US","98109","47.6339,-122.3476","America/Los_Angeles",,,,,,"US, WA, Seattle, Amazon Web Services Elastic Compute Cloud, EC2, 410 Terry Avenue North, 98109-5210","US","abuse@amazonaws.com","Amazon EC2 Abuse","3.128.0.0/9","+1-206-266-4064","Amazon Technologies Inc.","amazon.com","business",,,
"44.144.252.137",,"false",,"Walem","Flanders","BE","2800","51.0671,4.4584","Europe/Brussels","AS62383","Lambrechts Data Services VOF","wirelessantwerpen.be","44.144.0.0/16","isp","GB, , High Wycombe, 27 Wye road, HP10 0DU","GB","chris@g1fef.co.uk","Chris Smith","44.0.0.0-44.191.255.255","+44 (0)1844 220022","Amateur Radio Digital Communications","g1fef.co.uk","business",,,
"7.246.182.101",,"false",,"Columbus","Ohio","US","43218","39.9690,-83.0114","America/New_York",,,,,,"US, OH, Columbus, 3990 E. Broad Street, 43218","US","disa.columbus.ns.mbx.arin-registrations@mail.mil","Registration","7.0.0.0/8","+1-844-347-2457","DoD Network Information Center","mail.mil","business",,,
"90.28.208.71",,"false","amontpellier-656-1-336-71.w90-28.abo.wanadoo.fr","Nîmes","Occitanie","FR","30000","43.8366,4.3579","Europe/Paris","AS3215","Orange S.A.","orange.com","90.28.0.0/16","isp","France Telecom, BRX/DAP/AFC, Branche Reseaux, 6, Place d'Alleray, 75505 Paris Cedex 15 - France","FR","gestionip.ft@orange.com",,"90.28.208.0/24",,,,,,,
"249.135.140.63",,"true",,,,,,,,,,,,,,,,,,,,,,,,
